Date,Close,High,Low,Open,Volume
,^FTSE,^FTSE,^FTSE,^FTSE,^FTSE
2026-06-25,10529.900390625,10575.2998046875,10415.5,10461.5,1004841900
2026-06-26,10508.0,10530.2001953125,10404.7001953125,10530.2001953125,763639200
2026-06-29,10484.2001953125,10521.0,10472.0,10507.7998046875,724560800
2026-06-30,10497.099609375,10613.2001953125,10483.900390625,10484.2998046875,832111200
2026-07-01,10478.2998046875,10508.2998046875,10429.2001953125,10497.599609375,885709000
2026-07-02,10652.900390625,10694.900390625,10436.7998046875,10477.7998046875,891213100
2026-07-03,10679.0,10701.2998046875,10604.2998046875,10652.7998046875,423999600
2026-07-06,10651.7998046875,10733.400390625,10618.400390625,10679.400390625,575233300
2026-07-07,10665.900390625,10747.0,10651.2001953125,10651.2998046875,640931200
2026-07-08,10489.0,10666.099609375,10467.0,10666.099609375,736774600
2026-07-09,10472.5,10539.5,10397.5,10487.900390625,550303900
2026-07-10,10497.2998046875,10513.900390625,10462.7998046875,10471.900390625,740632000
2026-07-13,10498.2998046875,10532.099609375,10465.0,10498.099609375,596311300
2026-07-14,10529.400390625,10552.599609375,10423.0,10498.7001953125,726921500
2026-07-15,10515.900390625,10546.2001953125,10443.599609375,10529.099609375,935873100
2026-07-16,10572.2001953125,10572.2001953125,10447.599609375,10515.0,778679400
2026-07-17,10600.400390625,10623.7001953125,10527.7001953125,10572.400390625,776616200
2026-07-20,10524.7998046875,10600.2998046875,10512.7998046875,10600.2998046875,868888600
2026-07-21,10585.900390625,10585.900390625,10483.099609375,10524.2998046875,722295200
2026-07-22,10717.0,10763.400390625,10568.7001953125,10585.900390625,727194500
2026-07-23,10639.2001953125,10720.2998046875,10610.400390625,10717.0,853019700
2026-07-24,10736.2001953125,10738.7998046875,10599.099609375,10638.900390625,717428900
2026-07-27,10781.7998046875,10820.900390625,10736.099609375,10736.099609375,1189032700
2026-07-28,10871.0,10884.2998046875,10770.2998046875,10781.900390625,848931800
2026-07-29,10908.400390625,10951.099609375,10864.099609375,10871.2001953125,771519600
2026-07-30,10897.2998046875,10979.599609375,10865.400390625,10907.400390625,964211500
2026-07-31,10868.099609375,10989.5,10829.2998046875,10897.099609375,770876200
2026-08-03,10857.7001953125,10917.400390625,10832.5,10868.099609375,1298395800
2026-08-04,10879.400390625,10932.5,10855.2001953125,10857.599609375,1054581500
2026-08-05,10888.2998046875,10952.2998046875,10836.900390625,10879.0,1043852700
2026-08-06,10867.900390625,10944.7998046875,10865.2998046875,10888.5,664069100
2026-08-07,10901.099609375,10959.900390625,10855.2001953125,10867.900390625,1068510800
2026-08-10,10862.5,10910.900390625,10829.0,10901.099609375,607992100
2026-08-11,10844.2001953125,10893.2001953125,10825.400390625,10862.900390625,722874700
2026-08-12,10833.2001953125,10863.7998046875,10809.599609375,10844.2001953125,548656200
2026-08-13,10772.7001953125,10837.0,10756.400390625,10833.599609375,844441300
2026-08-14,10750.099609375,10789.7001953125,10723.7001953125,10772.5,742965900
2026-08-17,10720.2998046875,10793.599609375,10717.599609375,10750.0,600227600
2026-08-18,10728.0,10779.900390625,10701.7001953125,10720.900390625,772638300
2026-08-19,10743.400390625,10766.0,10701.099609375,10727.7998046875,702126300
2026-08-20,10748.2001953125,10766.900390625,10684.400390625,10743.2001953125,773005500
2026-08-21,10816.599609375,10831.599609375,10734.900390625,10748.099609375,673086200
2026-08-24,10854.2998046875,10864.7998046875,10799.0,10816.2998046875,664816800
2026-08-25,10886.2001953125,10887.0,10825.7998046875,10854.599609375,618073600
2026-08-26,10878.099609375,10920.5,10855.599609375,10886.2001953125,587582300
2026-08-27,10792.5,10878.5,10772.599609375,10878.2001953125,605676800
